Name,Team,Age,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,PTS/G,TS%,USG%,EXP,DPOSS,DRAYMOND
Giannis Antetokounmpo,MIL,24,0.7,2.8,0.256,9.3,14.5,0.641,6.9,9.5,0.729,27.7,0.644,32.3,6,6338.544,2.128734
Khris Middleton,MIL,27,2.3,6.2,0.378,4.2,8.8,0.485,2.8,3.4,0.837,18.3,0.558,25.1,7,6334.098,-0.1893033
Eric Bledsoe,MIL,29,1.6,4.8,0.329,4.4,7.6,0.582,2.3,3,0.75,15.9,0.577,22.9,8,5899.579,1.226985
Brook Lopez,MIL,30,2.3,6.3,0.365,2.1,3.4,0.613,1.4,1.6,0.842,12.5,0.597,16.7,11,6039.569,2.531657
George Hill,MIL,32,0.7,2.7,0.28,1.7,3.1,0.556,1.1,1.4,0.815,6.8,0.534,14.4,11,3631.847,0.6850559
Ersan Ilyasova,MIL,31,0.9,2.4,0.363,1.6,3.3,0.493,0.9,1.1,0.824,6.8,0.548,15.7,11,3315.226,-0.2015826
Sterling Brown,MIL,23,0.9,2.5,0.361,1.6,2.8,0.558,0.5,0.7,0.69,6.4,0.563,15.2,2,2651.353,-0.294829
Zach LaVine,CHI,23,1.9,5.1,0.374,6.5,12.9,0.504,5,6,0.832,23.7,0.574,30.5,5,4546.888,-0.8320915
Otto Porter Jr.,CHI,25,2.6,5.3,0.488,3.9,8.1,0.479,1.9,2.1,0.906,17.5,0.609,21.3,6,3634.027,-1.139196
Lauri Markkanen,CHI,21,2.3,6.4,0.361,4.3,8.9,0.479,3.3,3.8,0.872,18.7,0.553,25.1,2,3495.757,-0.8096551
Kris Dunn,CHI,24,0.7,2.1,0.354,3.9,8.9,0.441,1.2,1.5,0.797,11.3,0.484,20.1,3,2898.38,-0.4218276
Wendell Carter Jr.,CHI,19,0.1,0.7,0.188,4,7.7,0.513,2,2.5,0.795,10.3,0.541,19.1,1,2310.881,0.6486585
Thaddeus Young,CHI,31,0.6,1.8,0.349,4.8,8.6,0.564,1.1,1.7,0.644,12.6,0.569,18,13,5391.132,-0.0774711
Tomas Satoransky,CHI,27,0.8,2,0.395,2.4,4.6,0.524,1.6,2,0.819,8.9,0.59,14.1,4,4634.116,-1.070856
Cedi Osman,CLE,23,1.7,4.9,0.348,3,6.2,0.489,1.9,2.4,0.779,13,0.536,18.6,2,5021.402,-1.103224
Collin Sexton,CLE,20,1.5,3.6,0.402,4.9,11.1,0.44,2.6,3.1,0.839,16.7,0.52,25.2,1,5373.898,-3.585276
Tristan Thompson,CLE,27,0,0,0,4.7,8.8,0.529,1.6,2.5,0.642,10.9,0.551,17.7,8,2444.669,-0.2537715
Jordan Clarkson,CLE,26,1.8,5.5,0.324,4.8,9.1,0.524,2,2.4,0.844,16.8,0.539,27.6,5,4605.581,-0.3956261
Kevin Love,CLE,30,2.4,6.7,0.361,2.5,6.2,0.412,4.7,5.2,0.904,17,0.561,27.4,11,1259.662,0.5138292
Larry Nance Jr.,CLE,26,0.5,1.5,0.337,3.2,5.7,0.567,1.4,2,0.716,9.4,0.583,15.5,4,3684.237,0.2346547
Ante Zizic,CLE,22,0,0,0,3.1,5.6,0.553,1.6,2.2,0.705,7.8,0.59,18.2,2,2259.126,-0.4402087
Jayson Tatum,BOS,20,1.5,3.9,0.373,4.4,9.2,0.483,2.5,2.9,0.855,15.7,0.547,22.1,2,5808.584,1.261458
Marcus Smart,BOS,24,1.6,4.3,0.364,1.4,2.8,0.511,1.3,1.6,0.806,8.9,0.568,14.6,5,4760.152,-0.0094045
Jaylen Brown,BOS,22,1.3,3.7,0.344,3.7,7,0.529,1.8,2.7,0.658,13,0.547,22.1,3,4697.732,1.177987
Gordon Hayward,BOS,28,1.1,3.2,0.333,3,5.6,0.542,2.2,2.6,0.834,11.5,0.575,19,9,4581.758,0.7388157
Daniel Theis,BOS,26,0.4,1,0.388,1.8,3,0.603,0.8,1.2,0.737,5.7,0.624,15.8,2,2060.651,0.3359011
Kemba Walker,BOS,29,3.2,8.9,0.356,5.7,11.6,0.494,4.6,5.5,0.844,25.6,0.558,31.5,8,5961.601,0.6169553
Enes Kanter,BOS,27,0.1,0.5,0.25,5.3,8.8,0.596,2.2,3,0.735,13.1,0.614,23.4,8,4397.283,0.0059687
Landry Shamet,LAC,21,2.7,6,0.45,0.8,2.4,0.322,1.2,1.6,0.795,10.9,0.719,15,1,4303.305,-0.0469583
Patrick Beverley,LAC,30,1.4,3.6,0.397,1.1,2.5,0.421,1.2,1.6,0.78,7.6,0.561,12.2,7,5029.338,1.24702
Lou Williams,LAC,32,1.4,3.9,0.361,5.1,11.3,0.447,5.7,6.5,0.876,20,0.554,32.4,14,4812.016,-1.66934
Montrezl Harrell,LAC,25,0,0.2,0.176,6.6,10.6,0.623,3.2,5,0.643,16.6,0.636,23.5,4,5059.705,1.821483
Ivica Zubac,LAC,21,0,0,,3.8,7.2,0.538,1.7,2.3,0.733,9.4,0.574,20.1,3,2365.076,2.427843
Kawhi Leonard,LAC,27,1.9,5,0.371,7.5,13.8,0.542,6.1,7.1,0.854,26.6,0.606,30.3,8,6177.954,0.2488732
Paul George,LAC,28,3.8,9.8,0.386,5.4,11.1,0.484,5.9,7,0.839,28,0.583,29.5,9,6639.482,0.0924507
Kyle Anderson,MEM,25,0.2,0.8,0.265,3.3,5.6,0.583,0.9,1.5,0.578,8,0.569,12.6,5,2605.5,1.501297
Jonas Valanciunas,MEM,26,0.3,0.9,0.278,7.7,13.7,0.563,3.7,4.8,0.769,19.9,0.594,31.4,7,2862.574,-0.5606058
Jaren Jackson Jr.,MEM,19,0.9,2.4,0.359,4.3,7.7,0.553,2.6,3.4,0.766,13.8,0.591,22.8,1,3076.081,1.510787
Bruno Caboclo,MEM,23,1.4,3.8,0.369,1.4,2.8,0.505,1.2,1.5,0.84,8.3,0.571,15.9,5,1678.167,0.9077687
Dillon Brooks,MEM,23,0.8,2.2,0.375,1.9,4.6,0.415,1.2,1.7,0.733,7.5,0.499,20.9,2,677.1875,0.9486058
Josh Jackson,MEM,22,0.9,2.8,0.324,3.5,7.8,0.445,1.8,2.7,0.671,11.5,0.487,23.9,2,4267.159,0.5563664
Jae Crowder,MEM,29,2.2,6.5,0.331,1.8,3.4,0.527,1.8,2.5,0.721,11.9,0.538,19.1,7,4939.843,0.3361804
Trae Young,ATL,20,1.9,6,0.324,4.6,9.6,0.477,4.2,5.1,0.829,19.1,0.539,28.4,1,5570.218,-1.828938
John Collins,ATL,21,0.9,2.6,0.348,6.7,11,0.609,3.3,4.4,0.763,19.5,0.627,23.7,2,4038.661,0.8836584
Kevin Huerter,ATL,20,1.8,4.7,0.385,1.9,4.1,0.457,0.5,0.7,0.732,9.7,0.533,15.7,1,4544,-2.463726
DeAndre' Bembry,ATL,24,0.6,2.1,0.289,2.7,5.4,0.508,1.1,1.7,0.64,8.4,0.508,17.2,3,4310.555,-0.9974544
Alex Len,ATL,25,1,2.6,0.363,3.2,5.8,0.554,1.8,2.8,0.648,11.1,0.575,22.1,6,3488.797,0.4024043
Allen Crabbe,ATL,27,2.3,6,0.378,0.9,2.7,0.342,1,1.3,0.732,9.6,0.519,16.4,6,2443.739,1.085181
Jabari Parker,ATL,24,1,3.2,0.296,5,8.2,0.613,2.1,3,0.684,15,0.587,24,5,3712.89,-0.4037949
Justise Winslow,MIA,22,1.5,3.9,0.375,3.5,7.5,0.462,1.3,2.1,0.628,12.6,0.513,20.8,4,4093.494,-0.4053941
Goran Dragic,MIA,32,1.6,4.6,0.348,3.4,7.5,0.454,2.2,2.8,0.782,13.7,0.517,23.7,11,2133.54,0.1117582
Dion Waiters,MIA,27,2.5,6.6,0.377,2,4.3,0.471,0.5,1,0.5,12,0.53,21.1,7,2334.085,-0.3793888
Bam Adebayo,MIA,21,0,0.2,0.2,3.4,5.7,0.588,2,2.8,0.735,8.9,0.623,15.8,2,4005.742,0.7348471
Kelly Olynyk,MIA,27,1.4,4,0.354,1.9,3.1,0.604,1.9,2.3,0.822,10,0.61,18,6,3795.385,-0.2127411
James Johnson,MIA,31,0.9,2.7,0.336,2.1,4.2,0.496,0.9,1.3,0.714,7.8,0.522,17.8,10,2419.422,2.190668
Jimmy Butler,MIA,29,0.9,2.7,0.338,5.3,10.9,0.491,4.8,5.5,0.868,18.2,0.569,22.1,8,5561.562,0.6242351
Nicolas Batum,CHA,30,1.5,4,0.389,1.8,3.5,0.519,1,1.2,0.865,9.3,0.581,13.2,11,4923.293,0.6174049
Marvin Williams,CHA,32,1.9,5.1,0.366,1.8,3.6,0.5,0.9,1.1,0.767,10.1,0.548,14.9,14,4467.302,-1.218744
Cody Zeller,CHA,26,0.1,0.4,0.273,3.8,6.6,0.57,2.3,2.9,0.787,10.1,0.611,16.3,6,2638.526,1.639383
Miles Bridges,CHA,20,0.8,2.5,0.325,2.2,3.9,0.553,0.7,1,0.753,7.5,0.548,15.1,1,3624.846,-1.346092
